a = 79, p = 9603035470337413277
15634730,1260861101134709171
249272540447106,8818279359761593655
172101505137114,2395186044292421433
201137360718460,4907297220265001978
184371336066234,2676510183895246928
216162513331054,1351215270884031261
200414271819596,7592352272635045369
254808925584212,3904662090077331517
198390607838038,4876211861729499012
277400534358504,4002416457132287541
268973785491528,7229776943080084796
250779499421342,6381320815305894857
189063936991266,5233467668365432685
268991817291432,4432236620099433814
245339932136164,9376242117796812691
210381499508788,7311549755050246576
169693634316912,1243468657035194196
254034910399860,8494881059259974843
175831264312752,8642034773155983761
277164872449238,8456023698691211310
171179566590706,5665005680477223649
268359613422942,9034325607528141548
149066612857166,7965482471961221794
217829182929238,7865879312227833768
205172299342678,6007346619951866829
