 ;3;5;7;9
3;17,4337828;78,3360956;298,8420816;1360,938567
4;3,6908646;3,1090982;2,6984326;2,5531426
5;12,6443142;40,6458152;153,21198;608,0611176
6;3,9935144;3,3006898;2,9710562;2,8074584
9;7,7633056;26,6433882;102,694119;411,1493914
10;2,8772942;2,6278254;2,4795852;2,3450468
11_1;5,3937812;19,0108422;73,8391812;283,0194154
11_2;7,772935;21,3299558;76,0993456;284,9608144
12;2,924802;2,6649354;2,5526656;2,4031994
13;7,766346;25,958816;99,0557116;378,2168666
14;2,9651514;2,7041868;2,6004594;2,4318932
