a = 79, p = 115463236260131193319277581369543524663483908110172509405063202056861303663099214294810904526715709495462317939363614386916887548311064029005426253599870028437720914800290401160106551093788441979784889869234534529044351433627012188790204413099560693685275812891577197030804742482999213837998049966368266722311
51371015499706397659498563914,51853071943329407408895990421922012559276378810776865193911146743676022309859998548054979152382453192614312090718509829969613197510318605502610021978245087054239364124300609341752545977023761621190531207621955081604130754205865598221250827261033882023166999600775032886993641636350280370163249431014372667479
470915277802784845687542659364697603497090664285163068323789924864782818668270237637255541863306790241968987118473646099372,46149000638719664143005305537413061731454310628928865497474782157590082279467183144016724974885278597663612606082227444014554506108139618839231412668446599994051495579671333817917719772803445911355012339588297846286893923133728303561838843445739268889865052622579984389999508788738583622441536839088804719402
6476415932305438400464900205769912959996761577062977823872038210073332796067810969010299700217708065960437089872852979579352235922230335057468795288703582290399488389538797347521973593446571480878439921845943032831902506840740237167894402462592748747055599356886764,47720618357210310503505520986031389117872993444660457153872514385705093066846248871191889601392393482576126091777357925224773337285520439535435343465712888602587044607603104020998327761938175162052905935683811669555645757207061744578132247656059333515174113181522314508127279442916236323948620117742331592557
45728145388993258188709995652839431467210709326624184768585482629942324712870929096097961954088969098037399329650618184592706953952080658620,2960753693201092103983108579700519455161575719438632730940899517339837468850939764370488551915580173096681133109744590852225001935888496545038745828193478966593272698641834049589505719569503021764724921059604192948146611492652596998632732858710196603109920048185608596324840516566199704181622084894147876928
632981119540782214112315795506280257223632163590236627894438332089640277102082836981539095965714671983906606956376289966581431381715538152037540499762393504981523406137212,12917943184102261569415698093940363581684558116112505777831638806974592777532969713636716685466580127771052724068399034601977481819372433627825211132980963401004946525859507006682230281929842547922882021760001914717322545811367193031404862313204978692500781863051882371985080616366207803488757648614198061848
4565052560921424508474099679824215618952315968654478529554745354505809469428910678487656735313167221190410558717999139336726200438803435824092605632337900358268061608088890034791668402800594478852711400150,95137654537091478233013659166006170239784960313794365287471523870270243590580208731028842410384954133021992563649996669858502916038466518645399348143705752528314227899889397682034182450065578755130985936323200598814875019162898247458428160974443862167435461361194367969614691372206450991344794422670616766481
15153258952235795461946704688547150872398928256587423246695039612495785402739528647693645587826197354774323642889810864026326844002280984519985911068027512952921638144668640050081336223512718985633909343037336335234310010826776487077870728,89546580517269407796550397474274889017667051278912592409328852528657566453204874143503990926714520895081006425352597323099047724802238903715534102248119746815786049146853552543126845666287011870007766675359933535773155772789446637828573014980973929134880953198473690150487682508210594325265570392053928113661
403716479946645307019892077183124007553248682963156566030865568474669438388779178294070194009050751246406389102,84599021741511347330056679025264942080928971692758437493186467497220739634008756242624113782629425435694718825738337727553322292512034810408731725344080850975541412853105459297401912986238808582842499702902097149314442441557686282734291386345853235718604175497881659851547838258613646885962270886021308589983
11654688,31795444951449067040546574011667853916122005687635988377397124854686801794215062240471691035730708873466509820577981555265349146529864453991311026331532735418632447614878928106225774518075320673987941423889941878835394224029221635184220880905007102318919562819760530405462491065304739846713577385784001234789
49291994260436881130708255463649722002950,99458272208624947876571082983838853293434784838392765738907301957811206687293993458913457361874195167755930819134014898241131509376089690871670748375598611432757313897317484180224466782757746641554570458107245623240238633168572465079295311921755324643785045722111600499746305995698027367557731570795013721093
1151254601131658512205896121754467729959148123291323419191387342305507847348334815209421082081674802041699252140315798109647935506090590256961727180574113652562265868984439245852406262583891026211022831158187915286891940,53250996698714597396067241139573719481729258988977740248466941319459966552373478507108545499118839522770119295312524367245835302344543171121591941477470276257764718874954242951813912173844035491172428163987087498127116553973460052934324692598438569636420741368401378637127877162731923983234008141836683541121
6993741094218610257986740362605292383825915586623251541042786478882046010383004513330367830604567606357536406481779709499852605081057792513678009861649911034434298718746004941680641047328459313018482236701070888438032957576145529026588935505085550607024,110278142403616768814055005036401533328946093425669035514500471256707394690417840290122314602298054944733637179398775921146540994612418723755693789213125692446845552316115669723288482548147205019336279336089269783809028389522063083117222774398530486678986597369534853322700474898779228127887224270479447972430
