a = 79, p = 90648108060223661631372955454373561579123572325662830206332109321546088246697
3048604795786081845376112348274766,87439479911747266436551628936423033698137605835482472555849780954236112325644,1
806168606560,22037992905086960270843267384875233637076852754468018696096480419574056492465,1
807319402042,53250688266805188874076634045148652310804213191877328546865472071602054735528,1
861877721522,53133924069742282908309869934352092298202987121754180821351245408250446900660,1
1084169536446,25309879352583715204393128866406475102239260214230940308784351156704217170491,1
844901170952,73915283358210247705789513537962288676128341362367414238200468710643043611526,1
1030505874762,66553684556599382427400509356484228576853648967176066699456036098832240260297,1
1014363052914,84554878081562022464465902213271250965015504526991243741454741676286831579289,1
268314328050580549722941080602907560350686911326483825965175179706285390516,65916102134114174497557251790692246469284917497791255062713324701397966430536,1
303043858193808370703234574,25954367268532030720990754034330426695635436032064746617002366458377601028375,1
202333446244411826586123012,7862380187208301924783676984426968417038402235905586175632943765226050100992,1
248108604885102518643684930,48594991990177523096022247341660455403047336101440921599908859311905032669809,1
251219132314736989023315150,76167005462075365502163350005205872569168204668815817003471746355121763998014,1
205553388930369476567840644,10928406852236558806647351523573173560529429800644879738932947981263914027029,1
201216320706417324600736704,5008798197883996336280077784516040136380212518021538297393821067800442916703,1
236045861332667668073797466,13697493391307239111538983075401124812950693867305184546324431254769570462615,1
186306110510861791310324378,34373636524589371938844464867289594815178055625958593869430220456503559239184,1
156792693873758084169262896,89048960909651029599640148958078094100838610763719918373483433453440583809215,1
172926309324516,44028434270370609907754353739473315140663584382980057836128782997686942757991,1
47752286075014753290437907891278514213544,29733336002472304833857319691949300157438465333246348008601002855384604449624,1
45848465155167254480271277387646457406742,56064602916668503891540840111350558412620022702824342935116721993785722725507,1
44527432136171065818300861085420796034152,53477339456749854127369818382627000950765178170685917051491409715574939349763,1
80116227647000237960916485533949081969510,8892305441765599731212071473649658396308064865454318006443347024068136221628,1
47026338968569055584686922705506735614198,8777233772258075909490143740022548406377917259735967085587340406135259784735,1
66833931745214814453115146095366390639950,43035228347224105735172414295005337803521174996918512829349786789461299663152,1
68143224733213411053763048291257355777630,89664244153540394599275396146491249767724790834104474896665972681400635025028,1
79750402572183197712950685902725900154088,34394078504697888178019697614982783835257009913616052870371023915594092607615,1
70118601320612889525312986761358328667812,15441631004371806821629295375227844193207611184054214465047708601368793983396,1
44289457437651881466060937321970006480650,88616140741392324160701600481178704503966401689932590334687867972526653049967,1
18068999014004766976161895184036715389106701917879708661515850750752,57581783962414910960161610773128228314702338380102965859614478675205828438425,1
13613111322165371548177528276377937417427535919114694736651124542946,75153093890555394182129773000901014036217834059549258496851960278977384456086,1
16322602860416743778315611781205775161445289927313420260833887704492,63928183885048810436668077255754767496488299948363879762552411661481159239324,1
24082739591407339250184225663998851318917354713324611362448954543978,86557097485616182026038226342958176093296139375074978921788532558181342265684,1
24262468545085580953627639295336971390897891539823687111146911135426,31049784767339217810905781985096806091161499975752168511509880177395375321345,1
24810205249095028046378781148819250677032687596730612841708383002182,9883091564570150299043405891784370892096338286293939077856869142887559189323,1
22497465952326957902029080627284953394493244311866454404025267951350,22758012897585101076601506871768567849086142913744618520543383566061067531904,1
24421555009198481292500475717698730327273513255388120940737090285394,48976072070179040140998676869048628476349451939450298768495940521463620332143,1
23581142104894073266427886627909955831007585247452792240770958906918,16173977994977574680473133132616803709704925095350872190018185123177555259563,1
22620111511365639849493894658159653881944566943676264144,27844731918382575541883413280960793184147219182494852332362735032750972331781,1
18166754189696481391941286570060100857653858407325652716,77000509824980545773557791720595485107948707284845302994226140689630471024536,1
